timestamp,machine,ip,ping_time_ms
2024-06-16 10:08:44,servidor1,192.168.1.101,0.54
2024-06-16 10:08:44,servidor2,192.168.1.102,0.89
2024-06-16 10:08:44,servidor3,192.168.1.103,0.59
2024-06-16 10:08:44,nodoAplicación,192.168.1.111,0.43
2024-06-16 10:08:44,nodoBBDD,192.168.1.112,0.71
2024-06-16 10:08:44,nodoRegistro,192.168.1.113,0.55
2024-06-16 10:08:44,nodoIngreso,192.168.1.114,0.58
2024-06-16 10:08:44,grafana,192.168.1.241,0.8
2024-06-16 10:08:44,prometheus,192.168.1.251,0.43
2024-06-16 10:13:44,servidor1,192.168.1.101,0.77
2024-06-16 10:13:44,servidor2,192.168.1.102,0.17
2024-06-16 10:13:44,servidor3,192.168.1.103,0.85
2024-06-16 10:13:44,nodoAplicación,192.168.1.111,0.76
2024-06-16 10:13:44,nodoBBDD,192.168.1.112,0.74
2024-06-16 10:13:44,nodoRegistro,192.168.1.113,0.48
2024-06-16 10:13:44,nodoIngreso,192.168.1.114,0.79
2024-06-16 10:13:44,grafana,192.168.1.241,0.78
2024-06-16 10:13:44,prometheus,192.168.1.251,0.55
2024-06-16 10:18:44,servidor1,192.168.1.101,0.8
2024-06-16 10:18:44,servidor2,192.168.1.102,0.99
2024-06-16 10:18:44,servidor3,192.168.1.103,0.43
2024-06-16 10:18:44,nodoAplicación,192.168.1.111,0.95
2024-06-16 10:18:44,nodoBBDD,192.168.1.112,0.94
2024-06-16 10:18:44,nodoRegistro,192.168.1.113,0.34
2024-06-16 10:18:44,nodoIngreso,192.168.1.114,0.99
2024-06-16 10:18:44,grafana,192.168.1.241,0.27
2024-06-16 10:18:44,prometheus,192.168.1.251,0.81
2024-06-16 10:23:44,servidor1,192.168.1.101,0.86
2024-06-16 10:23:44,servidor2,192.168.1.102,0.61
2024-06-16 10:23:44,servidor3,192.168.1.103,0.24
2024-06-16 10:23:44,nodoAplicación,192.168.1.111,0.82
2024-06-16 10:23:44,nodoBBDD,192.168.1.112,0.44
2024-06-16 10:23:44,nodoRegistro,192.168.1.113,0.38
2024-06-16 10:23:44,nodoIngreso,192.168.1.114,0.67
2024-06-16 10:23:44,grafana,192.168.1.241,0.93
2024-06-16 10:23:44,prometheus,192.168.1.251,0.53
2024-06-16 10:28:44,servidor1,192.168.1.101,0.5
2024-06-16 10:28:44,servidor2,192.168.1.102,0.93
2024-06-16 10:28:44,servidor3,192.168.1.103,0.87
2024-06-16 10:28:44,nodoAplicación,192.168.1.111,0.18
2024-06-16 10:28:44,nodoBBDD,192.168.1.112,0.21
2024-06-16 10:28:44,nodoRegistro,192.168.1.113,0.66
