timestamp,machine,ip,ping_time_ms
2024-06-16 11:17:33,servidor1,192.168.1.101,0.58
2024-06-16 11:17:33,servidor2,192.168.1.102,0.58
2024-06-16 11:17:33,servidor3,192.168.1.103,0.58
2024-06-16 11:17:33,nodoAplicacion,192.168.1.111,0.58
2024-06-16 11:17:33,nodoBBDD,192.168.1.112,0.58
2024-06-16 11:17:33,nodoRegistro,192.168.1.113,0.58
2024-06-16 11:17:33,nodoIngreso,192.168.1.114,0.58
2024-06-16 11:17:33,grafana,192.168.1.241,0.58
2024-06-16 11:17:33,prometheus,192.168.1.251,0.58
2024-06-16 11:22:33,servidor1,192.168.1.101,0.28
2024-06-16 11:22:33,servidor2,192.168.1.102,0.28
2024-06-16 11:22:33,servidor3,192.168.1.103,0.28
2024-06-16 11:22:33,nodoAplicacion,192.168.1.111,0.28
2024-06-16 11:22:33,nodoBBDD,192.168.1.112,0.28
2024-06-16 11:22:33,nodoRegistro,192.168.1.113,0.28
2024-06-16 11:22:33,nodoIngreso,192.168.1.114,0.28
2024-06-16 11:22:33,grafana,192.168.1.241,0.28
2024-06-16 11:22:33,prometheus,192.168.1.251,0.28
2024-06-16 11:27:33,servidor1,192.168.1.101,0.74
2024-06-16 11:27:33,servidor2,192.168.1.102,0.74
2024-06-16 11:27:33,servidor3,192.168.1.103,0.74
2024-06-16 11:27:33,nodoAplicacion,192.168.1.111,0.74
2024-06-16 11:27:33,nodoBBDD,192.168.1.112,0.74
2024-06-16 11:27:33,nodoRegistro,192.168.1.113,0.74
2024-06-16 11:27:33,nodoIngreso,192.168.1.114,0.74
2024-06-16 11:27:33,grafana,192.168.1.241,0.74
2024-06-16 11:27:33,prometheus,192.168.1.251,0.74
2024-06-16 11:32:33,servidor1,192.168.1.101,0.9
2024-06-16 11:32:33,servidor2,192.168.1.102,0.9
2024-06-16 11:32:33,servidor3,192.168.1.103,0.9
2024-06-16 11:32:33,nodoAplicacion,192.168.1.111,0.9
2024-06-16 11:32:33,nodoBBDD,192.168.1.112,0.9
2024-06-16 11:32:33,nodoRegistro,192.168.1.113,0.9
2024-06-16 11:32:33,nodoIngreso,192.168.1.114,0.9
2024-06-16 11:32:33,grafana,192.168.1.241,0.9
2024-06-16 11:32:33,prometheus,192.168.1.251,0.9
2024-06-16 11:37:33,servidor1,192.168.1.101,1.0
2024-06-16 11:37:33,servidor2,192.168.1.102,1.0
2024-06-16 11:37:33,servidor3,192.168.1.103,1.0
2024-06-16 11:37:33,nodoAplicacion,192.168.1.111,1.0
2024-06-16 11:37:33,nodoBBDD,192.168.1.112,1.0
