timestamp,machine,ip,ping_time_ms
2024-06-16 10:06:18,servidor1,192.168.1.101,0.76
2024-06-16 10:06:18,servidor2,192.168.1.102,0.76
2024-06-16 10:06:18,servidor3,192.168.1.103,0.76
2024-06-16 10:06:18,nodoAplicación,192.168.1.111,0.76
2024-06-16 10:06:18,nodoBBDD,192.168.1.112,0.76
2024-06-16 10:06:18,nodoRegistro,192.168.1.113,0.76
2024-06-16 10:06:18,nodoIngreso,192.168.1.114,0.76
2024-06-16 10:06:18,grafana,192.168.1.241,0.76
2024-06-16 10:06:18,prometheus,192.168.1.251,0.76
2024-06-16 10:11:18,servidor1,192.168.1.101,0.91
2024-06-16 10:11:18,servidor2,192.168.1.102,0.91
2024-06-16 10:11:18,servidor3,192.168.1.103,0.91
2024-06-16 10:11:18,nodoAplicación,192.168.1.111,0.91
2024-06-16 10:11:18,nodoBBDD,192.168.1.112,0.91
2024-06-16 10:11:18,nodoRegistro,192.168.1.113,0.91
2024-06-16 10:11:18,nodoIngreso,192.168.1.114,0.91
2024-06-16 10:11:18,grafana,192.168.1.241,0.91
2024-06-16 10:11:18,prometheus,192.168.1.251,0.91
2024-06-16 10:16:18,servidor1,192.168.1.101,0.62
2024-06-16 10:16:18,servidor2,192.168.1.102,0.62
2024-06-16 10:16:18,servidor3,192.168.1.103,0.62
2024-06-16 10:16:18,nodoAplicación,192.168.1.111,0.62
2024-06-16 10:16:18,nodoBBDD,192.168.1.112,0.62
2024-06-16 10:16:18,nodoRegistro,192.168.1.113,0.62
2024-06-16 10:16:18,nodoIngreso,192.168.1.114,0.62
2024-06-16 10:16:18,grafana,192.168.1.241,0.62
2024-06-16 10:16:18,prometheus,192.168.1.251,0.62
2024-06-16 10:21:18,servidor1,192.168.1.101,0.23
2024-06-16 10:21:18,servidor2,192.168.1.102,0.23
2024-06-16 10:21:18,servidor3,192.168.1.103,0.23
2024-06-16 10:21:18,nodoAplicación,192.168.1.111,0.23
2024-06-16 10:21:18,nodoBBDD,192.168.1.112,0.23
2024-06-16 10:21:18,nodoRegistro,192.168.1.113,0.23
2024-06-16 10:21:18,nodoIngreso,192.168.1.114,0.23
2024-06-16 10:21:18,grafana,192.168.1.241,0.23
2024-06-16 10:21:18,prometheus,192.168.1.251,0.23
2024-06-16 10:26:18,servidor1,192.168.1.101,0.11
2024-06-16 10:26:18,servidor2,192.168.1.102,0.11
2024-06-16 10:26:18,servidor3,192.168.1.103,0.11
2024-06-16 10:26:18,nodoAplicación,192.168.1.111,0.11
2024-06-16 10:26:18,nodoBBDD,192.168.1.112,0.11
2024-06-16 10:26:18,nodoRegistro,192.168.1.113,0.11
2024-06-16 10:26:18,nodoIngreso,192.168.1.114,0.11
2024-06-16 10:26:18,grafana,192.168.1.241,0.11
2024-06-16 10:26:18,prometheus,192.168.1.251,0.11
2024-06-16 10:31:18,servidor1,192.168.1.101,0.73
2024-06-16 10:31:18,servidor2,192.168.1.102,0.73
2024-06-16 10:31:18,servidor3,192.168.1.103,0.73
2024-06-16 10:31:18,nodoAplicación,192.168.1.111,0.73
2024-06-16 10:31:18,nodoBBDD,192.168.1.112,0.73
2024-06-16 10:31:18,nodoRegistro,192.168.1.113,0.73
2024-06-16 10:31:18,nodoIngreso,192.168.1.114,0.73
2024-06-16 10:31:18,grafana,192.168.1.241,0.73
2024-06-16 10:31:18,prometheus,192.168.1.251,0.73
2024-06-16 10:36:18,servidor1,192.168.1.101,0.7
2024-06-16 10:36:18,servidor2,192.168.1.102,0.7
2024-06-16 10:36:18,servidor3,192.168.1.103,0.7
2024-06-16 10:36:18,nodoAplicación,192.168.1.111,0.7
2024-06-16 10:36:18,nodoBBDD,192.168.1.112,0.7
2024-06-16 10:36:18,nodoRegistro,192.168.1.113,0.7
2024-06-16 10:36:18,nodoIngreso,192.168.1.114,0.7
2024-06-16 10:36:18,grafana,192.168.1.241,0.7
2024-06-16 10:36:18,prometheus,192.168.1.251,0.7
2024-06-16 10:41:18,servidor1,192.168.1.101,0.94
2024-06-16 10:41:18,servidor2,192.168.1.102,0.94
2024-06-16 10:41:18,servidor3,192.168.1.103,0.94
2024-06-16 10:41:18,nodoAplicación,192.168.1.111,0.94
2024-06-16 10:41:18,nodoBBDD,192.168.1.112,0.94
2024-06-16 10:41:18,nodoRegistro,192.168.1.113,0.94
2024-06-16 10:41:18,nodoIngreso,192.168.1.114,0.94
2024-06-16 10:41:18,grafana,192.168.1.241,0.94
